"corpus","user/lx262/gnu_en_de_terms_v04__english"
"subcorpus",""
"Item","Score","Freq","Ref_freq","Rel_freq","Rel_ref_freq"
"suggested",13.940,1,47184,41.880,2.076
"expire",13.820,4,254410,167.518,11.193
"inventor",13.800,2,116904,83.759,5.143
"outrageous",13.780,2,117032,83.759,5.149
"unsuspecting",13.710,1,48383,41.880,2.129
"hoard",13.670,1,48585,41.880,2.138
"conspire",13.570,1,49083,41.880,2.160
"Join",13.570,1,49087,41.880,2.160
"Associates",13.270,2,122395,83.759,5.385
"encyclopedia",13.270,1,50699,41.880,2.231
"redefin",13.250,1,50850,41.880,2.237
"duplication",13.240,1,50884,41.880,2.239
"Version",13.100,2,124356,83.759,5.471
"creativity",13.080,7,488607,293.157,21.497
"licensing",12.990,3,198838,125.639,8.748
"crucial",12.990,11,785159,460.675,34.545
"algebra",12.980,1,52330,41.880,2.302
"Write",12.980,1,52342,41.880,2.303
"Goals",12.730,1,53840,41.880,2.369
"Levy",12.620,1,54485,41.880,2.397
"iceberg",12.620,1,54511,41.880,2.398
"Operating",12.520,1,55142,41.880,2.426
"criterion",12.510,9,664045,376.916,29.216
"dynamically",12.490,1,55309,41.880,2.433
"reasoning",12.140,3,214374,125.639,9.432
"Compliance",12.100,1,57829,41.880,2.544
"MP3",12.070,2,136938,83.759,6.025
"cumbersome",12.030,1,58280,41.880,2.564
"choosing",11.980,1,58627,41.880,2.579
"source",11.970,54,4272019,2261.496,187.957
"hardware",11.920,9,697774,376.916,30.700
"pronounce",11.920,3,218822,125.639,9.628
"Freedom",11.890,3,219358,125.639,9.651
"Rule",11.880,2,139437,83.759,6.135
"reject",11.800,9,705441,376.916,31.037
"disparate",11.790,1,59924,41.880,2.636
"compatibility",11.780,2,140822,83.759,6.196
"Skype",11.770,2,140967,83.759,6.202
"inconvenient",11.750,1,60230,41.880,2.650
"discourage",11.730,3,222599,125.639,9.794
"wrongly",11.700,1,60574,41.880,2.665
"shun",11.640,1,61007,41.880,2.684
"penalize",11.600,1,61276,41.880,2.696
"selfish",11.510,2,144643,83.759,6.364
"runner",11.430,5,395790,209.398,17.414
"ambiguity",11.360,1,63064,41.880,2.775
"chuck",11.350,1,63129,41.880,2.778
"missing",11.320,3,231588,125.639,10.189
"computational",11.310,1,63456,41.880,2.792
"sealed",11.230,1,64022,41.880,2.817
"negate",11.190,1,64356,41.880,2.831
"controlling",11.170,1,64536,41.880,2.839
"distinguish",11.150,5,406336,209.398,17.878
"Roland",10.920,1,66539,41.880,2.928
"operate",10.900,34,2947528,1423.905,129.683
"annoyance",10.890,1,66803,41.880,2.939
"careless",10.850,1,67081,41.880,2.951
"export",10.820,8,683263,335.036,30.062
"deliberate",10.810,2,155558,83.759,6.844
"Beyond",10.770,1,67788,41.880,2.982
"server",10.750,17,1484989,711.952,65.335
"alias",10.730,1,68078,41.880,2.995
"oblige",10.720,2,156900,83.759,6.903
"magnify",10.700,1,68316,41.880,3.006
"parse",10.660,1,68662,41.880,3.021
"legitimate",10.620,5,427426,209.398,18.806
"Gui",10.600,1,69187,41.880,3.044
"thwart",10.520,1,69870,41.880,3.074
"invoke",10.490,2,160976,83.759,7.083
"intellectual",10.470,6,525023,251.277,23.100
"irresistible",10.460,1,70401,41.880,3.097
"technically",10.440,3,252868,125.639,11.126
"Winston",10.380,1,71187,41.880,3.132
"precursor",10.360,1,71334,41.880,3.139
"asteroid",10.350,1,71454,41.880,3.144
"Carnegie",10.340,1,71495,41.880,3.146
"pastime",10.310,1,71769,41.880,3.158
"deprive",10.310,2,164074,83.759,7.219
"expressly",10.290,1,71990,41.880,3.167
"Miguel",10.230,1,72544,41.880,3.192
"implicit",10.160,1,73225,41.880,3.222
"secrecy",10.140,1,73356,41.880,3.227
"publisher",10.140,6,542811,251.277,23.882
"portable",10.120,4,355585,167.518,15.645
"computer",10.090,39,3657126,1633.303,160.904
"nuisance",10.090,1,73896,41.880,3.251
"enforce",9.850,4,366086,167.518,16.107
"firmware",9.840,1,76301,41.880,3.357
"impose",9.820,6,561170,251.277,24.690
"cynical",9.810,1,76572,41.880,3.369
"Foundation",9.760,11,1052602,460.675,46.312
"Make",9.640,1,78393,41.880,3.449
"breaker",9.630,1,78516,41.880,3.454
"Copyright",9.590,1,78869,41.880,3.470
"distributor",9.580,3,277744,125.639,12.220
"usefulness",9.530,1,79562,41.880,3.501
"payer",9.450,1,80381,41.880,3.537
